model,family,size_b,samples,official_strict_accuracy_total,official_strict_accuracy_scored,relaxed_answered,relaxed_answer_rate,relaxed_correct,relaxed_accuracy_total,strict_blank_recovered
Mistral Nemo,Mistral,12.0,8784,0.28164845173041897,0.2817767653758542,8776,0.9990892531876139,5693,0.6481102003642987,4939
Qwen2.5 7B,Qwen,7.0,8784,0.0,0.0,8783,0.9998861566484517,5624,0.6402550091074681,8783
Llama 3.1 8B,Llama,8.0,8784,0.06363843351548269,0.06363843351548269,8720,0.9927140255009107,5611,0.6387750455373407,7872
Llama 3 8B,Llama,8.0,8784,0.44592440801457195,0.44592440801457195,8780,0.9995446265938069,5550,0.6318306010928961,2633
Llama 3.2 1B,Llama,1.0,8784,0.31989981785063754,0.31989981785063754,6462,0.735655737704918,3563,0.4056238615664845,1731
