paper_model,openrouter_model_id,include_by_default,paper_anchor,required_reason,openrouter_available,context_length,input_price_per_m,output_price_per_m,estimated_input_tokens,estimated_output_tokens,estimated_cost_usd
DeepSeek-chat-v3-0324,deepseek/deepseek-chat-v3-0324,true,Nordic Europe 22.9%; Germanic Europe 11.9%; plural rationales 96.8%; Cramer's V 0.161,Current full-grid row has valid-choice coverage only; exact CCD cluster distribution is missing.,yes,163840,0.240000,0.900000,761659,174560,0.339902
Qwen2.5-72B-Instruct,qwen/qwen-2.5-72b-instruct,true,Nordic Europe 17.7%; Germanic Europe 9.4%; plural rationales 91.4%; Cramer's V 0.102,Exact CCD paper model is available on OpenRouter but has no checked current distribution row.,yes,131072,0.360000,0.400000,761659,174560,0.344021
OpenAI GPT-4.1,openai/gpt-4.1,true,Nordic Europe 21.5%; Germanic Europe 7.6%; plural rationales 94.7%; Cramer's V 0.096,Exact CCD paper model is available on OpenRouter; existing GPT-4.1-mini reference is not exact.,yes,1047576,2.000000,8.000000,761659,174560,2.919798
Command-R 08-2024,cohere/command-r-08-2024,true,Nordic Europe 16.1%; Germanic Europe 10.2%; plural rationales 78.5%; Cramer's V 0.142,Exact CCD paper model is available on OpenRouter but has no checked current distribution row.,yes,128000,0.150000,0.600000,761659,174560,0.218985
Microsoft Phi-4,microsoft/phi-4,true,Nordic Europe 18.9%; Germanic Europe 7.8%; plural rationales 82.7%; Cramer's V 0.152,Exact CCD paper model is available on OpenRouter but has no checked current distribution row.,yes,16384,0.070000,0.140000,761659,174560,0.077755
WizardLM-2-8x22B,microsoft/wizardlm-2-8x22b,true,Nordic Europe 22.0%; Germanic Europe 16.4%; plural rationales 88.8%; Cramer's V 0.111,Exact CCD paper model is available on OpenRouter but has no checked current distribution row.,yes,65536,0.620000,0.620000,761659,174560,0.580456
Perplexity Sonar,perplexity/sonar,true,Nordic Europe 21.8%; Germanic Europe 12.5%; plural rationales 92.9%; Cramer's V 0.127,Exact CCD paper model is available on OpenRouter but has no checked current distribution row.,yes,127072,1.000000,1.000000,761659,174560,0.936219
Claude 4 Sonnet,anthropic/claude-sonnet-4,true,Nordic Europe 30.6%; Germanic Europe 15.9%; plural rationales 98.6%; Cramer's V 0.054,Exact CCD paper model is available on OpenRouter but has no checked current distribution row.,yes,1000000,3.000000,15.000000,761659,174560,4.903377
